Part,Chapter,Word,WordTranslation,Example,ExampleTranslation
5,1,rain,n.雨 vi.下雨；像雨一样下,It has been raining all night and it looks like it's not going to stop.,雨已经下了一整晚，并且似乎还不会停。
5,1,shower,n.阵雨 vi.下起阵雨 vt.大量给予,John was showered with congratulations when he was promoted.,约翰荣升时，大家纷纷向他道贺。
5,1,pour,vt.倾倒 vi.下大雨,Will you pour me a glass of milk?,帮我倒一杯牛奶好吗？
5,1,hail,vi.下冰雹 n.冰雹,According to the weather forecast;it is going to hail tomorrow.,据天气预报，明天会下冰雹。
5,1,snow,vi.下雪 n.雪,Ihere is a blanket of snow over the mountain.,山上覆着一层白雪。
5,1,cloudy,adj.多云的;阴天的,It is beginning to cloud over;you'd better take an umbrella with you.,这天开始变阴了，你最好带上一把伞。
5,1,clear up,放晴,I hope it will clear up soon.,我希望天气尽快放晴。
5,1,sun,n.太阳;阳光,We tried our best to keep out of the sun.,我们尽可能不被阳光照到。
5,1,blanket,vi.覆盖 n.覆盖层,The mountain was soon blanketed with snow.,那座山很快就莜一层雪覆盖了。
5,1,melt,vi&v.(使)融化,The ice in the glass began to melt in the hot sun.,在炽热的阳光下，杯子里的冰块开始融化了。
5,1,thick,adj.浓的;厚的,The air is thick with dust.,空气中布满了灰尘。
5,1,linger,adj.挥之不去的;拖延的,It looks like the miserable weather is going to linger Tor a long time.,这令人难受的天气似乎将会持续很久。
5,1,minus,adj.负的 prep.零下,The temperature is minus 10 degrees Centigrade.,气温是零下10摄氏度。
5,1,ice,n.冰的 vt.冰镇,The bicycle outside has iced up.,外面那辆自行车已经结冰了。
5,1,freeze,n.冻结;结冰 vi.冻结;结冰 vt.冻结;结冰,The lake froze during the winter.,冬天湖水结冰了。
5,1,forecast,n.预测 vt.预测,I missed the forecast;so I don't know whether it's going to rain or not.,我错过了天气预报，所以我不知道会不会下雨。
5,1,accumulate,vi.积累 vt.积累,The sonw accumulated during the night.,雪积了一晚上。
5,1,rainfall,n.雨量,Heavy rainfall ruined the game.,骤雨让比赛泡汤了。
5,1,soil,n.土壤;土地,Farmers cultivate soil to grow crops.,农民耕地种谷物。
5,1,arid,adj.干旱的;干燥的,Few people live in arid areas because there isn't enough food.,很少人居住在干旱地区，因为没有足够的食物。
5,1,humid,adj.潮湿的,A hillside with warm and humid soil is heaven for tea trees.,有着温暖湿润土壤的山坡，是茶树的天堂。
5,1,mild,adj.温和的,The country has a mild climate.,该国气候温和。
5,1,lush,adj.青绿的;茂盛的,The fields are lush with grass and flowers.,田野长满了绿意盎然的花草。
5,1,sparse,adj.稀疏的;稀少的,The southwest region has sparse vegetation.,西南部地区植被稀少。
5,1,stretch,vi.延伸;延展,The range stretches for 200km along the coast.,范围沿着海岸绵延达200千米。
5,1,terrain,n.地形,New Zealand is known for its rugged terrain and hospitable people.,新西兰以其崎岖的地形和热情好客的人民而闻名。
5,1,empty into...,流入;注入,The Mississippi River empties into the Gulf of Mexico.,密西西比河注入墨西哥湾。
5,1,boundary,n.边界,The boundary between the desert and the city is changing every day.,这片沙漠与这座城市间的边界每天都在改变。
5,1,fertile,adj.肥沃的,Rice plants should be cultivated on fertile land.,稻米要种植在肥沃的土地上。
5,1,abundant,adj.充足的;丰富的,The country is abundant in mineral resources.,这个国家富含矿产资源。
5,1,graze,vt.放牧;(牛羊等)吃草 vi.放牧;(牛羊等)吃草,The grassy hillside is ideal to graze your sheep on.,这青草繁茂的山坡是放羊的理想地。
5,1,exploit,vt.开发,We must exploit the natural resources in moderation.,我们必须适度地开发天然资源。
5,1,longitude,n.纬度,Ihe island is located at 100 degrees east longitude and 25 degrees north latitude.,达座岛位于东经一百度，北纬二十五度。
5,1,When it rains，it pours.,祸不单行,Shirley lost her job and broke up with her boyfriend.,雪莉丢了工作，又和她的男友分手丁，简直是祸不单行。
5,1,rain cats and dogs,下大雨,Since it's raining cats and dogs;let's go to the movies.,既然现在下着大雨，咱们去看电影吧。
5,1,save/keep money for a rainy day,存钱以备不时之需;未雨绸缪,John was taught to save money for a rainy day when he was a little child.,约翰年幼时就被教育要存钱以备不时之需。
5,1,as right as rain,非常健康,After a few days of rest;Judy is as right as rain again.,休息几天后，朱迪又恢复了健康。
5,1,rain or shine,风雨无阻;不管发生什么,Rain or shine;Tim is always the first one to arrive at the office.,无论刮风下雨，蒂姆总是第一个到达办公室。
5,1,take a rain check(on sth),下次再约,Jenny asked if she could take a rain check on the dinner.,珍妮询问她是否能下次再约吃晚餐。
5,1,rain on sb's parade,泼冷水,I'm sorry to rain on your parade;but you're not a good cook.,我很抱歉泼你冷水，但是你不太会做菜。
5,1,the calm before the storm,暴风雨之前的平静,The share price rose rapidly today;but everyone knew it's merely the calm before the storm.,今天的股价急速上升，但所有人都知道这不过是暴风雨前的平静。
5,1,steal sb's thunder,抢风头,The bride was angry because her bridesmaids stole her thunder at the wedding.,新娘气坏了，因为她的伴娘们在婚礼上抢了她的风头。
5,1,be on cloud nine,异常兴奋;乐不可支,Jenny was on cloud nine when she got promoted.,珍妮升职时，简直乐不可支。
5,1,a tempest in a teapot,小题大做(美式),The whole problem tumned out to be a tempest in a teapot.,整个问题到头来只是在小题大做而已。
5,1,be a breeze,小事一桩,It is a breeze for me to help you with the housework.,帮你做家务对我来说简直是小事一桩。
5,1,be snowed under(with sth),(因某事)忙得不可开交,Everyone was snowed under with work before the long holidays.,长假前所有人都忙于工作。
5,1,break the ice,打破僵局,Telling jokes is a good way to break the ice.,讲笑话是个打破僵局的好办法。
5,1,get wind of,听到...的风声,Emma always seems to get wind of gossip before anyone else in the office.,艾玛似乎总是比办公室里其他人更早听到八卦的风声。
5,1,fair-weather friend,酒肉朋友,Don't expect Charlie to help you;he is just a fair-weather friend.,不要指望查理会帮助你，他不过是个酒肉朋友。
5,1,weather the storm,渡过难关,The manager didn't resign.Instead;he weathered the storm.,那位经理并没有辞职。相反地，他渡过了这次的难关。
5,1,be up in the air,悬而不决,Our team's future is still up in the air.,我们团队的前途仍悬而未决。
5,1,make hay while the sun shines,不误时机,We should make hay while the sun shines and take advantage of this opportunity.,我们应该不误时机，好好利用这次机会。
5,1,throw caution to the wind,不顾风险,John threw caution to the wind and dived into the water.,约翰不顾风险就潜人水里。
